employee_id,trip_id,boxes_in_trip,date
bc125e02,cfa3941f,3,2026-05-01
bc125e02,39888a32,3,2026-05-01
bc125e02,15ee4ad4,3,2026-05-01
bc125e02,47aff023,3,2026-05-01
bc125e02,68690ad9,3,2026-05-02
bc125e02,f8a3a1f3,3,2026-05-02
bc125e02,de9a8b1a,3,2026-05-02
bc125e02,594496e7,3,2026-05-02
bc125e02,fc5b39f1,3,2026-05-02
bc125e02,0e83fea5,3,2026-05-02
bc125e02,23f94bb1,3,2026-05-02
bc125e02,c1c945f2,3,2026-05-03
bc125e02,f594f37a,3,2026-05-03
bc125e02,d38c748a,3,2026-05-03
bc125e02,33d147e7,3,2026-05-03
bc125e02,6fdc592e,3,2026-05-04
bc125e02,4106065a,3,2026-05-04
bc125e02,6878557a,3,2026-05-04
bc125e02,45249d1f,3,2026-05-04
bc125e02,b8f06099,14,2026-05-05
bc125e02,a65131ac,16,2026-05-05
bc125e02,bffbefdd,17,2026-05-05
bc125e02,4736b1f3,19,2026-05-05
bc125e02,16ab951d,17,2026-05-05
bc125e02,37912ed4,14,2026-05-06
bc125e02,a9286418,17,2026-05-06
bc125e02,bb5d5c78,15,2026-05-06
bc125e02,8b15125d,14,2026-05-06
bc125e02,be806098,3,2026-05-07
bc125e02,0ab96db5,3,2026-05-07
bc125e02,1bb7c3b3,3,2026-05-07
bc125e02,2a78fd8e,36,2026-05-08
bc125e02,b31798e4,39,2026-05-08
bc125e02,b033f8d8,36,2026-05-08
bc125e02,a2a28d50,37,2026-05-08
bc125e02,028fcf80,3,2026-05-09
bc125e02,6f354438,3,2026-05-09
bc125e02,ed59d146,3,2026-05-09
bc125e02,4331dcf3,3,2026-05-09
bc125e02,d636fd58,3,2026-05-09
bc125e02,613271f8,15,2026-05-10
bc125e02,957a0f56,17,2026-05-10
bc125e02,62327fbd,17,2026-05-10
bc125e02,d165cdd8,16,2026-05-10
bc125e02,9fb9db80,13,2026-05-10
bc125e02,388102fe,16,2026-05-10
bc125e02,e6fec990,28,2026-05-11
bc125e02,cbc65dd6,29,2026-05-11
bc125e02,9a8f695a,31,2026-05-11
bc125e02,bad07199,30,2026-05-11
bc125e02,f190ae85,30,2026-05-11
bc125e02,718c6f4b,3,2026-05-12
bc125e02,4fcc3bf4,3,2026-05-12
bc125e02,bb2685d3,3,2026-05-12
bc125e02,a0c0c9b8,3,2026-05-12
bc125e02,b6840189,3,2026-05-12
bc125e02,fba17563,3,2026-05-13
bc125e02,e36f5bba,3,2026-05-13
bc125e02,77106dc4,3,2026-05-13
bc125e02,b803a339,3,2026-05-14
bc125e02,2a89ddde,3,2026-05-14
bc125e02,80e392a4,3,2026-05-14
bc125e02,8a9c797c,3,2026-05-14
bc125e02,36295d4c,3,2026-05-14
bc125e02,a7c6aff0,17,2026-05-15
bc125e02,1b349c3b,18,2026-05-15
bc125e02,140a92cf,18,2026-05-15
bc125e02,4b01f631,19,2026-05-15
bc125e02,f09b2b51,18,2026-05-15
bc125e02,40e4d549,3,2026-05-16
bc125e02,f18ec82a,3,2026-05-16
bc125e02,e238a5fd,3,2026-05-16
bc125e02,1fdd1c30,3,2026-05-16
bc125e02,8d8e38d0,3,2026-05-16
bc125e02,02bcfdd6,64,2026-05-17
bc125e02,9e611e95,64,2026-05-17
bc125e02,5e596207,64,2026-05-17
bc125e02,eb42f3de,64,2026-05-17
bc125e02,5d70557e,21,2026-05-18
bc125e02,2e0b43f4,23,2026-05-18
bc125e02,2a2d60cd,19,2026-05-18
bc125e02,9443f218,20,2026-05-18
bc125e02,c84492a2,22,2026-05-18
bc125e02,532552ff,20,2026-05-18
bc125e02,e2a3cbe6,33,2026-05-19
bc125e02,58241479,32,2026-05-19
bc125e02,d5ffab31,34,2026-05-19
bc125e02,1c18e674,35,2026-05-19
bc125e02,e2f6f40d,31,2026-05-19
bc125e02,2179be73,33,2026-05-19
bc125e02,ccea30cd,30,2026-05-20
bc125e02,9fa2228c,27,2026-05-20
bc125e02,3e4de8d8,32,2026-05-20
bc125e02,978e9b69,3,2026-05-21
bc125e02,db3ffffd,3,2026-05-21
bc125e02,c0dee132,3,2026-05-21
bc125e02,67e62110,3,2026-05-21
bc125e02,b44a7a29,3,2026-05-21
bc125e02,253107a3,3,2026-05-22
bc125e02,d9e3128b,3,2026-05-22
bc125e02,eeca2d6d,3,2026-05-22
bc125e02,c519492f,3,2026-05-22
bc125e02,4e019407,3,2026-05-22
bc125e02,828b1446,50,2026-05-23
bc125e02,d0d01819,49,2026-05-23
bc125e02,1977813d,53,2026-05-23
bc125e02,1fc5e558,53,2026-05-23
bc125e02,0857532a,16,2026-05-24
bc125e02,f7073209,18,2026-05-24
bc125e02,369d8313,18,2026-05-24
bc125e02,a6b49066,26,2026-05-25
bc125e02,8d1f825a,29,2026-05-25
bc125e02,56f80832,24,2026-05-25
bc125e02,7c6d1cf0,25,2026-05-25
bc125e02,8bfc3fdf,17,2026-05-26
bc125e02,dfe48aff,15,2026-05-26
bc125e02,fefab5e0,18,2026-05-26
